authors,title,conference,date start,date end,city,country,kind (invited / oral / poster),presentation number
T. Shikama; T. Teramoto; A. Ueda; M. Hasuo,Detection of anisotropy in the electron velocity distribution produced by electron cyclotron resonance heating using the polarization of helium atom emission lines,71st Annual Gaseous Electronics Conference,2018,,Portland,USA,poster,
A. Ueda; T. Shikama; T. Teramoto; T. Higashi; Y. Iida; M. Hasuo,Spectroscopic measurement of plasma parameters in a helium ECR discharge produced under a simple cusp field,71st Annual Gaseous Electronics Conference,2018,,Portland,USA,poster,
T. Shikama,Zeeman Spectroscopy for the Tomographic Measurement of Magnetically Confined Plasmas,The 9th International Symposium to Advanced Energy Science,2017,,Uji,Japan,invited,
T. Shikama; T. Higashi; T. Teramoto; A. Ueda; M. Hasuo,Measurement of electron velocity distribution anisotropy in an ECR plasma using directional Langmuir probe and polarization spectroscopy,APSPT-10,2017,,Taoyuan,Taiwan,oral,
T. Shikama; S. Kado; H. Okada; S. Yamamoto; T. Mizuuchi; K. Nagasaki; Y. Nakamura; T. Minami; S. Kobayashi; S. Oshima; S. Konoshima; L. Matsuoka; M. Hasuo,Local measurement of the recycling flux in the Heliotron J plasma using high wavelength-resolution spectroscopy of a helium atom near-infrared emission line,The 8th International Symposium to Advanced Energy Science,2017,,Uji,Japan,poster,
T. Shikama; K. Nii; A. Fujikawa; N. Yoneda; K. Hanada; H. Zushi; T. Onchi; M. Hasuo,Spatially-resolved measurements of impurity ion toroidal flow velocity in QUEST using multiple viewing chords spectroscopy and inversion,China-Japan Collaborative Workshop on Stability and Transport of Edge Plasmas,2017,,Fuzhou,China,oral,
A. Ueda; T. Shikama; T. Teramoto; T. Higashi; Y. Iida; M. Hasuo,Spectroscopic measurement of the degree of ionization in a helium electron cyclotron resonance discharge in a simple cusp field,APSPT-10,2017,,Taoyuan,Taiwan,poster,
N. Yoneda; T. Shikama,Impurity ion flow measurements in QUEST toroidal ECR plasmas using multiple viewing chords emission spectroscopy,China-Japan Collaborative Workshop on Stability and Transport of Edge Plasmas,2017,,Fuzhou,China,oral,
N. Yoneda; T. Shikama; H. Zushi; K. Hanada; A. Fujikawa; T. Onchi; K. Kuroda; K. Nii; M. Hasuo; Q. team,Spectroscopic measurements of impurity ion toroidal and poloidal flow velocities and their dependence on vertical magnetic field in QUEST toroidal ECR plasmas,ITC26,2017,,Toki,Japan,poster,
A. Fujikawa; T. Shikama; K. Nii; K. Hanada; H. Zushi; T. Onchi; M. Hasuo,Evaluation of Halpha intensity radial distribution in QUEST,8th Korea-Japan Seminar on Advanced Diagnostics for Steady-State Fusion Plasmas,2016,,Busan,Korea,poster,
